data,method,aggregator,metric,P,R,F1,H,J,KLD,C
cnn_corpus_extractive,SumyLexRank,Avg,Gensim,,,,0.46,0.8,2.07,
cnn_corpus_extractive,SumyLexRank,Avg,NLTK,37.89,41.34,37.89,,,,
cnn_corpus_extractive,SumyLexRank,Avg,SKLearn,,,,,,,0.49
cnn_corpus_extractive,SumyTextRank,Avg,rouge-1,33.31,50.26,40.07,,,,
cnn_corpus_extractive,SumyTextRank,Avg,rouge-2,21.63,31.34,25.6,,,,
cnn_corpus_extractive,SumyTextRank,Avg,rouge-3,22.66,25.54,23.82,,,,
cnn_corpus_extractive,SumyTextRank,Avg,rouge-4,21.83,24.58,22.93,,,,
cnn_corpus_extractive,SumyTextRank,Avg,rouge-l,26.86,39.99,32.13,,,,
cnn_corpus_extractive,SumyTextRank,Avg,rouge-su4,22.97,33.84,27.36,,,,
cnn_corpus_extractive,SumyTextRank,Avg,rouge-w,28.11,13.34,17.83,,,,
cnn_corpus_extractive,SumyTextRank,Avg,Gensim,,,,0.45,0.8,2.02,
cnn_corpus_extractive,SumyTextRank,Avg,NLTK,33.95,46.11,33.95,,,,
cnn_corpus_extractive,SumyTextRank,Avg,SKLearn,,,,,,,0.54
cnn_corpus_extractive,SumySumBasic,Avg,rouge-1,37.72,25.5,30.43,,,,
cnn_corpus_extractive,SumySumBasic,Avg,rouge-2,14.72,10.53,12.28,,,,
cnn_corpus_extractive,SumySumBasic,Avg,rouge-3,11.51,8.78,9.62,,,,
cnn_corpus_extractive,SumySumBasic,Avg,rouge-4,10.3,7.93,8.65,,,,
cnn_corpus_extractive,SumySumBasic,Avg,rouge-l,25.77,17.52,20.86,,,,
cnn_corpus_extractive,SumySumBasic,Avg,rouge-su4,17.8,12.37,14.6,,,,
cnn_corpus_extractive,SumySumBasic,Avg,rouge-w,22.55,6.69,10.0,,,,
cnn_corpus_extractive,SumySumBasic,Avg,Gensim,,,,0.43,0.85,1.92,
cnn_corpus_extractive,SumySumBasic,Avg,NLTK,34.9,25.03,34.9,,,,
cnn_corpus_extractive,SumySumBasic,Avg,SKLearn,,,,,,,0.39
cnn_dailymail,SumyRandom,Avg,rouge-1,25.01,19.74,22.06,,,,
cnn_dailymail,SumyRandom,Avg,rouge-2,6.39,5.04,5.64,,,,
cnn_dailymail,SumyRandom,Avg,rouge-3,4.04,3.37,3.48,,,,
cnn_dailymail,SumyRandom,Avg,rouge-4,2.63,2.13,2.22,,,,
cnn_dailymail,SumyRandom,Avg,rouge-l,17.21,13.45,15.1,,,,
cnn_dailymail,SumyRandom,Avg,rouge-su4,8.54,6.6,7.44,,,,
cnn_dailymail,SumyRandom,Avg,rouge-w,15.53,6.06,8.23,,,,
cnn_dailymail,SumyRandom,Avg,Gensim,,,,0.44,0.9,1.84,
cnn_dailymail,SumyRandom,Avg,NLTK,24.95,20.89,24.95,,,,
cnn_dailymail,SumyRandom,Avg,SKLearn,,,,,,,0.22
cnn_dailymail,SumyLuhn,Avg,rouge-1,25.01,32.08,28.11,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-2,8.46,10.43,9.34,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-3,5.61,7.21,6.08,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-4,3.68,4.64,3.94,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-l,16.69,21.46,18.77,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-su4,9.62,12.13,10.73,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-w,14.65,9.29,10.86,,,,
cnn_dailymail,SumyLuhn,Avg,Gensim,,,,0.45,0.86,1.88,
cnn_dailymail,SumyLuhn,Avg,NLTK,28.12,32.53,28.12,,,,
cnn_dailymail,SumyLuhn,Avg,SKLearn,,,,,,,0.3
cnn_dailymail,SumyLsa,Avg,rouge-1,25.64,22.27,23.84,,,,
cnn_dailymail,SumyLsa,Avg,rouge-2,7.19,6.15,6.63,,,,
cnn_dailymail,SumyLsa,Avg,rouge-3,4.6,4.18,4.2,,,,
cnn_dailymail,SumyLsa,Avg,rouge-4,2.93,2.62,2.64,,,,
cnn_dailymail,SumyLsa,Avg,rouge-l,17.2,15.0,16.03,,,,
cnn_dailymail,SumyLsa,Avg,rouge-su4,8.85,7.56,8.15,,,,
cnn_dailymail,SumyLsa,Avg,rouge-w,15.53,6.79,9.04,,,,
cnn_dailymail,SumyLsa,Avg,Gensim,,,,0.44,0.89,1.86,
cnn_dailymail,SumyLsa,Avg,NLTK,26.0,24.53,26.0,,,,
cnn_dailymail,SumyLsa,Avg,SKLearn,,,,,,,0.22
cnn_dailymail,SumyLexRank,Avg,rouge-1,27.86,28.71,28.28,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-2,8.75,8.92,8.84,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-3,5.58,6.02,5.53,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-4,3.53,3.76,3.47,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-l,18.28,18.9,18.59,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-su4,10.32,10.54,10.43,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-w,16.23,8.33,10.46,,,,
cnn_dailymail,SumyLexRank,Avg,Gensim,,,,0.45,0.86,1.88,
cnn_dailymail,SumyLexRank,Avg,NLTK,28.9,29.85,28.9,,,,
cnn_dailymail,SumyLexRank,Avg,SKLearn,,,,,,,0.29
cnn_dailymail,SumyTextRank,Avg,rouge-1,21.89,29.8,25.24,,,,
cnn_dailymail,SumyTextRank,Avg,rouge-2,6.36,8.41,7.24,,,,
cnn_dailymail,SumyTextRank,Avg,rouge-3,4.08,5.61,4.55,,,,
cnn_dailymail,SumyTextRank,Avg,rouge-4,2.63,3.57,2.92,,,,
cnn_dailymail,SumyTextRank,Avg,rouge-l,14.3,19.6,16.53,,,,
cnn_dailymail,SumyTextRank,Avg,rouge-su4,7.9,10.66,9.08,,,,
cnn_dailymail,SumyTextRank,Avg,rouge-w,12.67,8.58,9.77,,,,
cnn_dailymail,SumyTextRank,Avg,Gensim,,,,0.45,0.88,1.92,
cnn_dailymail,SumyTextRank,Avg,NLTK,23.47,29.64,23.47,,,,
cnn_dailymail,SumyTextRank,Avg,SKLearn,,,,,,,0.3
cnn_dailymail,SumySumBasic,Avg,rouge-1,31.4,20.06,24.48,,,,
cnn_dailymail,SumySumBasic,Avg,rouge-2,8.31,5.54,6.65,,,,
cnn_dailymail,SumySumBasic,Avg,rouge-3,5.19,3.66,4.06,,,,
cnn_dailymail,SumySumBasic,Avg,rouge-4,3.38,2.35,2.62,,,,
cnn_dailymail,SumySumBasic,Avg,rouge-l,21.79,13.8,16.89,,,,
cnn_dailymail,SumySumBasic,Avg,rouge-su4,11.28,7.07,8.69,,,,
cnn_dailymail,SumySumBasic,Avg,rouge-w,19.85,6.15,8.87,,,,
cnn_dailymail,SumySumBasic,Avg,Gensim,,,,0.43,0.88,1.81,
cnn_dailymail,SumySumBasic,Avg,NLTK,31.15,21.11,31.15,,,,
cnn_dailymail,SumySumBasic,Avg,SKLearn,,,,,,,0.26
cnn_dailymail,SumyKL,Avg,rouge-1,27.82,25.7,26.72,,,,
cnn_dailymail,SumyKL,Avg,rouge-2,9.02,8.12,8.55,,,,
cnn_dailymail,SumyKL,Avg,rouge-3,5.83,5.54,5.44,,,,
cnn_dailymail,SumyKL,Avg,rouge-4,3.77,3.52,3.48,,,,
cnn_dailymail,SumyKL,Avg,rouge-l,19.14,17.85,18.47,,,,
cnn_dailymail,SumyKL,Avg,rouge-su4,10.67,9.63,10.12,,,,
cnn_dailymail,SumyKL,Avg,rouge-w,16.96,7.88,10.27,,,,
cnn_dailymail,SumyKL,Avg,Gensim,,,,0.45,0.87,1.9,
cnn_dailymail,SumyKL,Avg,NLTK,29.07,25.93,29.07,,,,
cnn_dailymail,SumyKL,Avg,SKLearn,,,,,,,0.29
cnn_dailymail,SumyReduction,Avg,rouge-1,22.38,29.43,25.43,,,,
cnn_dailymail,SumyReduction,Avg,rouge-2,6.6,8.45,7.41,,,,
cnn_dailymail,SumyReduction,Avg,rouge-3,4.26,5.68,4.68,,,,
cnn_dailymail,SumyReduction,Avg,rouge-4,2.77,3.64,3.01,,,,
cnn_dailymail,SumyReduction,Avg,rouge-l,14.79,19.52,16.83,,,,
cnn_dailymail,SumyReduction,Avg,rouge-su4,8.14,10.6,9.21,,,,
cnn_dailymail,SumyReduction,Avg,rouge-w,13.08,8.55,9.85,,,,
cnn_dailymail,SumyReduction,Avg,Gensim,,,,0.45,0.88,1.91,
cnn_dailymail,SumyReduction,Avg,NLTK,24.37,29.22,24.37,,,,
cnn_dailymail,SumyReduction,Avg,SKLearn,,,,,,,0.3
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-1,42.34,26.88,32.88,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-2,19.45,12.12,14.93,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-3,14.64,9.74,11.33,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-4,10.05,6.55,7.67,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-l,31.84,20.29,24.79,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,19.39,11.86,14.71,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,rouge-w,30.07,9.8,14.31,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.43,0.84,1.76,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,NLTK,42.71,29.7,42.71,,,,
cnn_dailymail,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.34
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-1,31.82,20.14,24.66,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-2,10.33,6.47,7.95,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-3,6.3,4.2,4.87,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-4,3.72,2.42,2.83,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-l,22.08,14.14,17.24,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-su4,11.69,7.15,8.87,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,rouge-w,20.65,6.75,9.84,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.44,0.88,1.82,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,NLTK,33.89,21.8,33.89,,,,
cnn_dailymail,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.25
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,31.64,14.78,20.15,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,7.65,3.48,4.78,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,3.74,1.78,2.34,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,1.74,0.8,1.06,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,22.0,10.35,14.08,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,10.2,4.46,6.21,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,21.02,5.01,7.86,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.43,0.9,1.77,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,31.46,16.66,31.46,,,,
cnn_dailymail,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.21
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-1,3.18,19.81,5.47,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-2,0.86,6.79,1.52,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-3,0.36,4.48,0.62,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-4,0.13,2.61,0.23,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-l,3.1,19.48,5.35,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,0.56,10.09,1.07,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-w,5.0,32.21,7.62,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.41,0.98,0.83,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,NLTK,3.43,19.83,5.13,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.11
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,3.48,17.63,5.81,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,0.85,5.97,1.48,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,0.93,7.43,1.52,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,0.43,3.73,0.7,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,3.38,17.27,5.65,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,0.63,8.27,1.18,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,5.58,30.63,8.24,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.37,0.97,0.69,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,3.63,17.64,5.32,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.1
xsum,SumyKL,Avg,rouge-1,13.63,16.05,14.74,,,,
xsum,SumyKL,Avg,rouge-2,1.75,2.04,1.89,,,,
xsum,SumyKL,Avg,rouge-3,0.61,0.72,0.63,,,,
xsum,SumyKL,Avg,rouge-4,0.21,0.24,0.22,,,,
xsum,SumyKL,Avg,rouge-l,10.65,12.59,11.54,,,,
xsum,SumyKL,Avg,rouge-su4,3.78,4.49,4.1,,,,
xsum,SumyKL,Avg,rouge-w,11.19,7.2,8.37,,,,
xsum,SumyKL,Avg,Gensim,,,,0.42,0.93,1.51,
xsum,SumyKL,Avg,NLTK,14.02,15.4,14.02,,,,
xsum,SumyKL,Avg,SKLearn,,,,,,,0.14
xsum,SumyReduction,Avg,rouge-1,12.97,18.77,15.34,,,,
xsum,SumyReduction,Avg,rouge-2,1.63,2.35,1.93,,,,
xsum,SumyReduction,Avg,rouge-3,0.58,0.87,0.67,,,,
xsum,SumyReduction,Avg,rouge-4,0.21,0.32,0.24,,,,
xsum,SumyReduction,Avg,rouge-l,9.95,14.33,11.74,,,,
xsum,SumyReduction,Avg,rouge-su4,3.6,5.33,4.3,,,,
xsum,SumyReduction,Avg,rouge-w,10.38,7.97,8.5,,,,
xsum,SumyReduction,Avg,Gensim,,,,0.41,0.93,1.49,
xsum,SumyReduction,Avg,NLTK,13.56,17.97,13.56,,,,
xsum,SumyReduction,Avg,SKLearn,,,,,,,0.15
xsum,SumyRandom,Avg,rouge-1,12.48,12.02,12.24,,,,
xsum,SumyRandom,Avg,rouge-2,1.24,1.22,1.23,,,,
xsum,SumyRandom,Avg,rouge-3,0.46,0.44,0.42,,,,
xsum,SumyRandom,Avg,rouge-4,0.16,0.15,0.15,,,,
xsum,SumyRandom,Avg,rouge-l,9.97,9.47,9.71,,,,
xsum,SumyRandom,Avg,rouge-su4,3.34,3.13,3.23,,,,
xsum,SumyRandom,Avg,rouge-w,11.26,5.68,7.1,,,,
xsum,SumyRandom,Avg,Gensim,,,,0.41,0.94,1.45,
xsum,SumyRandom,Avg,NLTK,12.61,11.98,12.61,,,,
xsum,SumyRandom,Avg,SKLearn,,,,,,,0.1
xsum,SumyLuhn,Avg,rouge-1,12.64,18.15,14.9,,,,
xsum,SumyLuhn,Avg,rouge-2,1.53,2.21,1.81,,,,
xsum,SumyLuhn,Avg,rouge-3,0.55,0.82,0.64,,,,
xsum,SumyLuhn,Avg,rouge-4,0.18,0.28,0.21,,,,
xsum,SumyLuhn,Avg,rouge-l,9.55,13.71,11.26,,,,
xsum,SumyLuhn,Avg,rouge-su4,3.37,5.03,4.04,,,,
xsum,SumyLuhn,Avg,rouge-w,9.91,7.74,8.3,,,,
xsum,SumyLuhn,Avg,Gensim,,,,0.42,0.93,1.53,
xsum,SumyLuhn,Avg,NLTK,13.25,17.65,13.25,,,,
xsum,SumyLuhn,Avg,SKLearn,,,,,,,0.14
xsum,SumyLsa,Avg,rouge-1,12.35,12.74,12.54,,,,
xsum,SumyLsa,Avg,rouge-2,1.15,1.19,1.17,,,,
xsum,SumyLsa,Avg,rouge-3,0.44,0.44,0.42,,,,
xsum,SumyLsa,Avg,rouge-4,0.14,0.14,0.13,,,,
xsum,SumyLsa,Avg,rouge-l,9.45,9.71,9.58,,,,
xsum,SumyLsa,Avg,rouge-su4,3.07,3.17,3.12,,,,
xsum,SumyLsa,Avg,rouge-w,10.53,5.92,7.29,,,,
xsum,SumyLsa,Avg,Gensim,,,,0.41,0.94,1.48,
xsum,SumyLsa,Avg,NLTK,12.39,13.25,12.39,,,,
xsum,SumyLsa,Avg,SKLearn,,,,,,,0.09
xsum,SumyLexRank,Avg,rouge-1,13.67,15.52,14.54,,,,
xsum,SumyLexRank,Avg,rouge-2,1.61,1.83,1.71,,,,
xsum,SumyLexRank,Avg,rouge-3,0.53,0.64,0.55,,,,
xsum,SumyLexRank,Avg,rouge-4,0.17,0.22,0.18,,,,
xsum,SumyLexRank,Avg,rouge-l,10.53,11.84,11.15,,,,
xsum,SumyLexRank,Avg,rouge-su4,3.71,4.2,3.94,,,,
xsum,SumyLexRank,Avg,rouge-w,11.35,6.89,8.09,,,,
xsum,SumyLexRank,Avg,Gensim,,,,0.42,0.93,1.5,
xsum,SumyLexRank,Avg,NLTK,14.01,15.36,14.01,,,,
xsum,SumyLexRank,Avg,SKLearn,,,,,,,0.12
xsum,SumyTextRank,Avg,rouge-1,12.35,19.02,14.98,,,,
xsum,SumyTextRank,Avg,rouge-2,1.51,2.34,1.84,,,,
xsum,SumyTextRank,Avg,rouge-3,0.54,0.86,0.64,,,,
xsum,SumyTextRank,Avg,rouge-4,0.2,0.31,0.23,,,,
xsum,SumyTextRank,Avg,rouge-l,9.43,14.51,11.43,,,,
xsum,SumyTextRank,Avg,rouge-su4,3.33,5.37,4.11,,,,
xsum,SumyTextRank,Avg,rouge-w,9.59,8.04,8.4,,,,
xsum,SumyTextRank,Avg,Gensim,,,,0.42,0.93,1.51,
xsum,SumyTextRank,Avg,NLTK,12.98,18.17,12.98,,,,
xsum,SumyTextRank,Avg,SKLearn,,,,,,,0.15
xsum,SumySumBasic,Avg,rouge-1,15.92,12.81,14.2,,,,
xsum,SumySumBasic,Avg,rouge-2,1.82,1.52,1.66,,,,
xsum,SumySumBasic,Avg,rouge-3,0.57,0.5,0.5,,,,
xsum,SumySumBasic,Avg,rouge-4,0.18,0.16,0.16,,,,
xsum,SumySumBasic,Avg,rouge-l,13.1,10.4,11.59,,,,
xsum,SumySumBasic,Avg,rouge-su4,4.75,3.55,4.06,,,,
xsum,SumySumBasic,Avg,rouge-w,14.3,6.04,7.93,,,,
xsum,SumySumBasic,Avg,Gensim,,,,0.4,0.93,1.43,
xsum,SumySumBasic,Avg,NLTK,16.17,12.4,16.17,,,,
xsum,SumySumBasic,Avg,SKLearn,,,,,,,0.14
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-1,16.64,13.28,14.77,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-2,2.57,2.03,2.27,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-3,0.92,0.72,0.79,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-4,0.28,0.22,0.24,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-l,13.33,10.64,11.84,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,4.62,3.57,4.03,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-w,14.43,6.45,8.7,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.4,0.93,1.42,
xsum,Transformers-facebook/bart-large-cnn,Avg,NLTK,16.87,13.55,16.87,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.12
xsum,Transformers-google/pegasus-xsum,Avg,rouge-1,43.72,35.68,39.29,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-2,21.39,17.47,19.23,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-3,14.92,12.16,13.2,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-4,9.32,7.55,8.22,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-l,37.84,30.96,34.06,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-su4,21.83,17.47,19.41,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-w,36.4,16.43,22.26,,,,
xsum,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.39,0.81,1.36,
xsum,Transformers-google/pegasus-xsum,Avg,NLTK,44.14,36.28,44.14,,,,
xsum,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.32
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,35.68,25.83,29.97,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,13.23,9.5,11.06,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,7.97,5.6,6.47,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,4.34,3.0,3.49,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,30.06,21.82,25.28,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,15.05,10.38,12.29,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,29.76,11.81,16.62,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.4,0.85,1.4,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,35.98,26.56,35.98,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.24
